current_step,population,hh_income,gini,unemployment,housing_price_indexes,n_matching_housing,tom_buy,tom_sell,total_posted_jobs,skill,n_matching_labour,recruit_outside,tom_labour,person_income_old,skill_old,n_posted_jobs_old,n_applicants_old,n_workers_old,person_income_service,skill_service,n_posted_jobs_service,n_applicants_service,n_workers_service,person_income_new,skill_new,n_posted_jobs_new,n_applicants_new,n_workers_new,person_income_unemployed,skill_unemployed,n_posted_jobs_unemployed,n_applicants_unemployed,n_workers_unemployed,n_houses_for_sale,n_bids,gdp,wealth_gini,person_income
18,15027,2.7864587646779047,0.3988269113189631,0.1022,1.0304712341240494,4,6.564102564102564,6.864197530864198,10,0.400754598492233,3,0,17.322916666666668,3.0058086899462357,0.5017532985336143,4,62,5910,1.001310523239304,0.2536321407993158,0,0.0,4565,2.9881794451116543,0.5011930461928047,6,31,3016,0.0,0.2521799525668938,0,0.0,1536,85.0,60.0,31347.66110262633,1.6167192756943866e-05,2.0860891131048396
19,15025,2.787406195334204,0.3984496486893856,0.1017,0.9697859637591746,2,7.352941176470588,7.475609756097561,23,0.40095133043354236,11,1,18.265706806282722,3.007026699161294,0.5019061136343714,12,79,5912,1.001725994992287,0.25390372871800315,6,3620,4570,2.9869576985568185,0.5012850370071973,5,29,3015,0.0,0.25216647194999664,0,0.0,1528,84.0,51.0,31361.10710370504,2.2328250512774086e-05,2.087261704073553
20,15023,2.786410383729981,0.3984725573380027,0.1024,1.1137733845858615,3,7.74015748031496,7.719101123595506,17,0.4010322661544135,5,4,19.12808842652796,3.007087427862884,0.5019525281551102,10,59,5903,1.0009723240229604,0.2537571372777068,1,884,4563,2.986981574771777,0.5016321221176406,6,49,3019,0.0,0.2531604464673636,0,0.0,1538,92.0,53.0,31335.97117542728,7.947534876844653e-05,2.085866416523156
21,15022,2.7869591721337397,0.39864286425838624,0.1023,1.1244771328221281,8,7.802919708029197,8.090909090909092,29,0.40108843750550943,15,1,20.041666666666668,3.0077192887804816,0.5021034863073768,19,93,5903,1.0009689761540097,0.2540732744886395,8,3659,4567,2.9875917293452354,0.5016603247009804,2,30,3016,0.0,0.2525217738590779,0,0.0,1536,96.0,59.0,31336.568931471666,8.794915807034998e-05,2.0860450626728646
22,15015,2.7891051788051886,0.3983435397401657,0.102,1.0270600908317102,5,8.333333333333334,8.411111111111111,28,0.40122953153754387,12,0,20.98172323759791,3.008757102882398,0.502254190475125,19,102,5903,1.0012077782505238,0.2541541743636983,4,2037,4564,2.9877219549017626,0.5016918606965043,5,24,3016,0.0,0.25234505613902225,0,0.0,1532,95.0,55.0,31341.17489423379,4.095520034687148e-05,2.0873243352803135
23,15025,2.790038181400832,0.3981976271440123,0.1017,1.0946730983080963,6,9.159420289855072,9.056818181818182,31,0.4014491515489083,14,5,21.93782722513089,3.008229102573766,0.5026322288766817,19,105,5912,1.0011292918398693,0.25455680072904846,7,3124,4570,2.9879230366053906,0.5017173265085099,5,23,3015,0.0,0.2514459726102727,0,0.0,1528,94.0,51.0,31368.39927348945,7.736633228427139e-05,2.087747039832916
24,15026,2.7875775605330384,0.3986876721620535,0.1026,1.0266978206545914,9,8.858064516129032,8.351063829787234,17,0.40150897020379417,4,3,22.72680077871512,3.0083300523541174,0.502830359821937,10,53,5906,1.0014644266237662,0.25451835618948276,1,862,4567,2.987997738206772,0.5018479576932713,6,61,3012,0.0,0.2526971446361779,0,0.0,1541,103.0,47.0,31340.734513072846,5.973497890947929e-05,2.0857669714543428
25,15033,2.7860480223406956,0.3988791641040429,0.103,0.9986047228744059,3,9.61006289308176,8.555555555555555,29,0.40162980154886735,7,3,23.554909560723516,3.0078327314909976,0.5030448303139794,16,87,5905,1.0014890972508528,0.25471134548677515,4,2078,4568,2.988517157899041,0.5019302555652498,9,42,3012,0.0,0.2531561548668944,0,0.0,1548,102.0,37.0,31337.46815528804,8.190367532502586e-05,2.0845784710495674
26,15039,2.7872588260897992,0.39878276330557916,0.1029,1.0621491078258942,5,10.035928143712574,9.142857142857142,29,0.40184887617845017,11,4,24.46124031007752,3.0078168801139724,0.5032324489506024,17,67,5910,1.000859367905889,0.25486850745829687,3,1583,4567,2.9892300261481304,0.5020910893463819,9,86,3014,0.0,0.2532393144041436,0,0.0,1548,103.0,47.0,31356.661793510128,7.904962803359335e-05,2.0850230596123573
27,15034,2.7896457702285122,0.3985929965081112,0.1025,0.9778185910140097,3,10.412790697674419,9.39,23,0.4020159350662346,11,2,25.46073977936405,3.0090815481334485,0.5035066764221239,12,135,5911,1.0010844971237758,0.2551719226899803,4,2513,4568,2.9893602098013914,0.5021734208019418,7,15,3014,0.0,0.25211133699527233,0,0.0,1541,103.0,44.0,31369.56668621951,0.000139734687850348,2.0865748760289757
