current_step,population,hh_income,gini,unemployment,housing_price_indexes,n_matching_housing,tom_buy,tom_sell,total_posted_jobs,skill,n_matching_labour,recruit_outside,tom_labour,person_income_old,skill_old,n_posted_jobs_old,n_applicants_old,n_workers_old,person_income_service,skill_service,n_posted_jobs_service,n_applicants_service,n_workers_service,person_income_new,skill_new,n_posted_jobs_new,n_applicants_new,n_workers_new,person_income_unemployed,skill_unemployed,n_posted_jobs_unemployed,n_applicants_unemployed,n_workers_unemployed,n_houses_for_sale,n_bids,gdp,wealth_gini,person_income
35,15057,2.8013413061565435,0.3943484273052449,0.1081,0.9052728150079917,2,12.598326359832637,10.861386138613861,23,0.4050823289632434,9,8,32.70620774431469,3.010427315665101,0.5044423827359982,8,96,6073,0.9973213499181811,0.25874208893888834,3,2094,4363,2.9748375511988434,0.5038878418546138,12,60,2994,0.0,0.24481506102689318,0,0.0,1627,103.0,46.0,31540.30176601654,0.0007600478332232161,2.094726822475694
36,15047,2.797846608247227,0.39534259598360116,0.1091,0.9163964650660266,4,12.23076923076923,10.445454545454545,7,0.405134505327706,3,1,33.398294762484774,3.0116115432340385,0.5045225011293076,4,84,6061,0.9966021180482337,0.2588126159074863,0,0.0,4354,2.973774146181448,0.5040022820069969,3,42,2990,0.0,0.2462308583795022,0,0.0,1642,114.0,62.0,31484.16788260606,0.0007272269424494867,2.0923883752645747
37,15051,2.798727200268188,0.3951726846550637,0.1087,1.0153355346350925,7,12.7015503875969,10.850467289719626,32,0.4052279186375186,16,1,34.34779951100244,3.011846333433516,0.5046874592461659,16,135,6062,0.9974737638378987,0.25932778688730707,9,3927,4362,2.9734805533546775,0.5040388483764494,7,22,2991,0.0,0.24505013665442624,0,0.0,1636,114.0,69.0,31502.473366218743,0.00046341249374696715,2.093048526092534
38,15052,2.7994942835120615,0.3954172471396214,0.1092,1.094947720154276,8,13.409448818897637,10.81132075471698,22,0.40534225508323435,8,0,35.1880706025563,3.013208225880763,0.504817415948259,15,95,6060,0.9969985530444646,0.259311933580253,1,693,4357,2.9751150141018003,0.5042044298682324,6,67,2992,0.0,0.24565814612993206,0,0.0,1643,114.0,74.0,31505.508666644768,0.0003756814435450829,2.0931111258732886
39,15056,2.799787905906989,0.39525771461774895,0.1091,0.8653580292776832,4,13.365079365079366,10.743119266055047,28,0.4053829551813853,14,2,36.09074299634592,3.0125736987936156,0.5048633140111612,17,130,6066,0.996601557690386,0.25955758778291466,6,3245,4359,2.976230987632854,0.5043091842516799,5,29,2989,0.0,0.24491670739661114,0,0.0,1642,113.0,68.0,31514.412668889094,0.0011586669511370106,2.0931464312492736
40,15049,2.798760198378168,0.3955639704357755,0.1098,0.8357892589929665,4,13.235521235521235,10.369747899159664,23,0.4055460454850802,9,1,36.69430992736078,3.013177419471211,0.5049993001380993,11,38,6058,0.9962227002528755,0.2596265195339631,4,2740,4349,2.977407913510506,0.5043820009506664,8,118,2990,0.0,0.24610094550403544,0,0.0,1652,123.0,73.0,31488.850991952797,0.0012638124229542155,2.0924214892652513
41,15064,2.8019962019660474,0.3947652550355018,0.1087,0.9681799080268122,3,13.79296875,10.957264957264957,40,0.4057881546651517,22,9,37.71916971916972,3.0135472913357555,0.5054361327566314,19,141,6070,0.9959846231338233,0.26034568401592967,14,4287,4362,2.97814370267932,0.5044795120385509,7,43,2994,0.0,0.24344072241891743,0,0.0,1638,121.0,83.0,31553.279230339685,0.0008731234633561673,2.0946149250092714
42,15057,2.8007518438929826,0.39503859668613023,0.1092,0.8941593914826772,6,13.848484848484848,10.94915254237288,11,0.40584359441595086,5,2,38.571776155717764,3.013814367997148,0.5055744607895619,7,61,6065,0.9961825229266199,0.2603891759005137,1,1426,4357,2.9785730900733283,0.504576890524649,3,104,2991,0.0,0.2437790617241586,0,0.0,1644,124.0,85.0,31528.063506703336,0.0011587138434878401,2.093914027143741
43,15060,2.801848438371399,0.39495220698940026,0.109,0.8014251738291817,7,14.1699604743083,11.086206896551724,24,0.40592242918484606,14,2,39.42813641900122,3.0147608691422207,0.505689153129033,12,107,6066,0.9962105445907491,0.260783962788726,6,3629,4360,2.979610347924868,0.5046051701679983,6,64,2992,0.0,0.24292608632251608,0,0.0,1642,123.0,78.0,31546.011567623616,0.001493784448726802,2.0946886831091356
44,15061,2.8017320460249717,0.39496204682500696,0.1091,0.8811911816390681,6,14.448818897637794,11.016806722689076,19,0.4059268911861552,9,0,40.295800365185634,3.014608683248335,0.5057995718395308,11,87,6065,0.9963628382763313,0.2609243341883884,3,2505,4362,2.978723262333868,0.5046471331650758,5,78,2991,0.0,0.2425069896052571,0,0.0,1643,125.0,80.0,31539.09764210314,0.0012667595288078247,2.094090541272366
45,15056,2.8018993083733625,0.39490686051107493,0.1094,0.9128927041673466,13,14.379032258064516,10.504273504273504,19,0.40592917222005687,6,3,41.168791742562235,3.015378539948395,0.5059443412718877,12,103,6063,0.995947612059146,0.2608186095589878,1,833,4355,2.978997318255013,0.5047303416309142,6,50,2991,0.0,0.24202524551685786,0,0.0,1647,130.0,76.0,31529.772917125487,0.0011839277374591237,2.0941666390226783
46,15051,2.801460226062703,0.3945842524617023,0.109,0.9120216642065557,7,14.538152610441767,10.651785714285714,28,0.4059181503583735,10,3,42.24207317073171,3.0157192135296995,0.5059924201173622,14,109,6064,0.9958203584518042,0.26116461729110085,8,3980,4362,2.977601101849449,0.5046139021016128,6,35,2985,0.0,0.24125822381408452,0,0.0,1640,120.0,61.0,31519.229003431505,0.0011697026675989452,2.0941617834982043
47,15048,2.8007849671970853,0.3949086628947875,0.1094,0.8454930234285803,7,14.71551724137931,10.89090909090909,26,0.4060088199890133,5,3,43.05164034021871,3.016447236627858,0.5061652758780395,13,69,6061,0.9961286125582575,0.26108476229569527,1,639,4356,2.976283805190887,0.5047990982505316,12,66,2985,0.0,0.2415810773146957,0,0.0,1646,117.0,55.0,31506.030096000046,0.0014143250122215377,2.093702159489634
48,15039,2.801693563049001,0.3949482378637043,0.1096,1.0802880771329468,6,14.293172690763052,10.105691056910569,35,0.40606704495551943,12,3,43.75424757281554,3.0186728704053136,0.5063463535019989,16,101,6054,0.9956608440725782,0.26136175420008995,7,3071,4357,2.976339165410614,0.504829860181321,12,37,2980,0.0,0.2416719166230745,0,0.0,1648,129.0,55.0,31482.63056798165,0.0010677055731592444,2.093399199945583
49,15052,2.8027903048077474,0.39468802396730807,0.1095,0.8895657854294089,7,14.23265306122449,10.525862068965518,46,0.40630926017396757,11,9,44.584344660194176,3.019041087316829,0.5065553805187584,23,70,6061,0.9954369925970187,0.26159575242884653,6,2084,4360,2.9755483973543435,0.5052145360886828,17,83,2983,0.0,0.24145775550488688,0,0.0,1648,124.0,59.0,31514.574187258346,0.0014688171782126637,2.0937134060097202
50,15055,2.803573302713428,0.3948678057298168,0.1095,0.929479753499912,6,14.228,10.421487603305785,33,0.4064510999486427,13,7,45.45995145631068,3.019219366932194,0.5067769825830404,16,92,6062,0.9959164002633992,0.2618123259182092,3,1435,4359,2.9765845761978604,0.5053048906457334,14,64,2986,0.0,0.2408731244919848,0,0.0,1648,127.0,60.0,31531.78893561795,0.0013556372950165139,2.0944396503233427
