current_step,population,hh_income,gini,unemployment,housing_price_indexes,n_matching_housing,tom_buy,tom_sell,total_posted_jobs,skill,n_matching_labour,recruit_outside,tom_labour,person_income_old,skill_old,n_posted_jobs_old,n_applicants_old,n_workers_old,person_income_service,skill_service,n_posted_jobs_service,n_applicants_service,n_workers_service,person_income_new,skill_new,n_posted_jobs_new,n_applicants_new,n_workers_new,person_income_unemployed,skill_unemployed,n_posted_jobs_unemployed,n_applicants_unemployed,n_workers_unemployed,n_houses_for_sale,n_bids,gdp,wealth_gini,person_income
19,15041,2.820541533051472,0.3948707672821723,0.104,1.0053588605205113,7,7.840909090909091,7.169491525423729,15,0.40433468763059077,8,1,18.25319693094629,3.017549154949125,0.5022238108773638,10,76,6028,1.0020426810670953,0.25809280504766785,3,3038,4409,3.007580115362588,0.5016344072764661,2,14,3040,0.0,0.250187422702904,0,0.0,1564,66.0,66.0,31750.836037560275,7.36381772559876e-05,2.110952465764272
20,15037,2.8201421005811276,0.39502005504123855,0.1045,1.0868827153843301,2,8.192857142857143,7.578125,13,0.4044320437357011,7,1,19.148949713558242,3.0194282763871385,0.5023406502984408,9,102,6028,1.0020415695690135,0.2582070520966972,1,1190,4404,3.0062473089636867,0.5017622317184238,3,0,3034,0.0,0.25069683843869095,0,0.0,1571,66.0,55.0,31735.059057839288,8.877899751903337e-05,2.110464790705555
21,15039,2.8223219477362833,0.39456576837864116,0.104,1.0841590372001706,6,8.706293706293707,8.283333333333333,24,0.4045650813178639,12,1,20.154092071611252,3.0201330833385103,0.5024227823626405,9,66,6031,1.0026513678473175,0.25850537165737864,6,3571,4408,3.0066868724435443,0.5019554384374828,9,45,3036,0.0,0.24981717912298426,0,0.0,1564,66.0,68.0,31762.411199823982,8.808585790283884e-05,2.112002872519724
22,15042,2.8209152989017783,0.3949423352259823,0.1044,1.0112505661912545,4,9.306122448979592,8.061538461538461,15,0.4046777854646841,8,0,21.036305732484077,3.0194572553586814,0.5025721432495766,6,49,6030,1.002548898319292,0.2586353062815436,2,2011,4408,3.006868456010291,0.5021197106003294,7,59,3034,0.0,0.25041884911744366,0,0.0,1570,69.0,59.0,31749.40168913937,0.00010068837466761803,2.11071677231349
23,15041,2.822003505037787,0.3948003437496517,0.1041,1.072615274367864,6,9.732026143790849,8.390625,18,0.40473549311081014,7,1,22.037037037037038,3.0205377484184877,0.5027180093572399,7,80,6029,1.0024308477979478,0.25875256982387673,2,1728,4410,3.0072817276667596,0.502232100185393,9,43,3036,0.0,0.24959398747046424,0,0.0,1566,70.0,64.0,31761.64944920014,0.00010603555359259739,2.111671394800897
24,15030,2.822205452265703,0.39477154940490666,0.1046,1.4007609420001739,1,9.622754491017965,8.38888888888889,15,0.4049985961042693,5,2,22.905216284987276,3.0201645258058676,0.5030400726226301,8,63,6026,1.001821552288032,0.2586045077800384,0,0.0,4398,3.0083571146363344,0.5023682933403312,7,51,3034,0.0,0.2508151365216444,0,0.0,1572,73.0,66.0,31732.87810527541,0.0006386843931464244,2.1113026018147414
25,15034,2.823702643134744,0.39454177991560097,0.1039,1.102718042545772,3,10.138728323699421,8.54054054054054,32,0.4050919222398929,19,0,23.902048655569782,3.0205302872152617,0.5031928993522118,11,60,6029,1.0021727034466634,0.25925211218143884,12,4295,4409,3.0088421477321394,0.5024261509030599,9,55,3034,0.0,0.2490387095468741,0,0.0,1562,77.0,83.0,31758.183627336308,0.0002179949926442159,2.112424080573132
26,15041,2.82431440101621,0.3947474974779886,0.1042,0.9943222329265664,5,10.478021978021978,9.04225352112676,18,0.40524168599553356,6,1,24.79259731971921,3.0213288161835266,0.503344436947884,8,43,6027,1.002150045067254,0.2593070213269956,1,866,4409,3.0103715232365764,0.5024921620519249,9,71,3038,0.0,0.24998559810430895,0,0.0,1567,76.0,91.0,31773.537011432207,0.00037960616460468985,2.1124617386764415
27,15043,2.8248365016644676,0.39492434792824094,0.1044,0.9752817189675144,8,10.95135135135135,8.728571428571428,16,0.40538011801259755,8,2,25.690642902609802,3.022750615608074,0.5034885762847462,10,112,6025,1.001445225471178,0.25929752720050764,1,967,4406,3.0114420775278763,0.5026647978171057,5,17,3041,0.0,0.2505066124383535,0,0.0,1571,78.0,100.0,31782.235480226762,0.0004061438209172048,2.112759122530541
28,15038,2.825415472769041,0.3946987133762782,0.1042,0.9900678590424139,8,11.359375,8.714285714285714,18,0.40536007327142476,11,1,26.648372686662412,3.0229445231245307,0.503626491903635,12,109,6024,1.0012319074330152,0.259380774094974,4,3274,4407,3.0123771099824688,0.5025986289628617,2,29,3040,0.0,0.24950088777571067,0,0.0,1567,78.0,92.0,31780.273237706013,0.0003886325201385174,2.1133311103674806
29,15036,2.828102283872155,0.3944248033491913,0.1037,1.0701668371868942,5,12.260416666666666,9.014492753623188,19,0.40542769221464103,10,0,27.67735728030789,3.0236887550008174,0.5037622910713864,13,83,6027,1.0010452063101862,0.25958581700237393,3,2388,4409,3.0136894906711102,0.5026321295367228,3,49,3041,0.0,0.2481188446231277,0,0.0,1559,74.0,89.0,31802.01018214222,0.0003373940767608893,2.1150578732470326
30,15027,2.8284531045841046,0.3945681792079908,0.1043,1.066396392715626,5,11.971428571428572,8.675675675675675,13,0.40550601641205813,6,0,28.488832163369494,3.024661155957351,0.5039346802820753,10,81,6021,1.0007858785031882,0.25954433207275035,1,1169,4400,3.015047036712463,0.5027128236157672,2,30,3039,0.0,0.24863360980038451,0,0.0,1567,79.0,89.0,31777.67063000226,0.00034180565830440506,2.114704906501791
31,15032,2.830158228307363,0.3944438256413291,0.1037,0.9333571061634992,2,12.541666666666666,8.947368421052632,30,0.405579603417497,18,2,29.442591404746633,3.0252254229930933,0.5040406939955665,16,85,6026,1.0008126947547558,0.2600024665520495,10,4114,4407,3.014713231900513,0.5028634568590846,4,41,3040,0.0,0.2468169323977115,0,0.0,1559,78.0,87.0,31805.318169717993,0.0005967135135914064,2.115840751045646
32,15031,2.828965796297241,0.39437985574384765,0.1039,1.0710393512049354,3,12.803571428571429,8.68235294117647,17,0.4056472589501778,7,3,30.252240717029448,3.0249015777147013,0.5042526774804704,11,114,6027,1.0005759745708371,0.2601252448422175,3,2681,4408,3.014986139814549,0.5028873752597709,3,6,3034,0.0,0.24696586831157988,0,0.0,1562,88.0,96.0,31789.08865299193,0.0003814695825983413,2.1149017798544407
33,15032,2.8296151109129593,0.39456807516948195,0.1042,0.9925490275735471,8,12.486363636363636,9.073170731707316,21,0.4056929399421579,8,2,31.094508301404854,3.0257391066708212,0.5043317730872552,10,78,6021,1.000476459187731,0.2601575833529885,2,1458,4407,3.015411862768545,0.503191939569097,9,57,3038,0.0,0.2468602076657832,0,0.0,1566,90.0,108.0,31787.896155996023,0.0004923735984973192,2.1146817559869735
34,15035,2.8315406366656464,0.39420784716435286,0.1039,1.1973521121352435,6,12.68918918918919,9.670886075949367,24,0.4058094621677385,10,3,32.10243277848912,3.0258555222367978,0.5045728098152473,16,98,6027,1.0006963469894368,0.260380476189938,3,1913,4409,3.016340495852573,0.503219357128327,5,34,3037,0.0,0.2458324147344985,0,0.0,1562,85.0,105.0,31809.527512301713,0.0005418586130700576,2.115698537565805
35,15038,2.83330761960083,0.3939338346463147,0.1039,1.0776634559433127,4,12.585585585585585,9.531645569620252,17,0.4059288374800086,8,1,33.06145966709347,3.026397212122147,0.504751421302503,10,68,6031,1.0006669115560565,0.2604614279208217,1,871,4406,3.0168600855449403,0.503381768006987,6,49,3039,0.0,0.24509077577247088,0,0.0,1562,84.0,103.0,31829.377798595568,0.0005171226709689922,2.1165964755017774
36,15027,2.8339045207240945,0.39386946981406223,0.104,1.2668329752798269,5,12.504237288135593,9.341176470588236,14,0.40596800581980175,9,0,33.945617402431225,3.026400162079053,0.5048379016353199,6,47,6027,1.0007695174321085,0.2605616458831678,4,4066,4400,3.018465127288847,0.5034667668614827,4,55,3037,0.0,0.244608686790675,0,0.0,1563,90.0,110.0,31810.578245127792,0.0006798931103765959,2.1168948056916186
37,15034,2.837792202738854,0.3932822645790715,0.1031,1.01439180473087,6,12.72340425531915,9.765432098765432,26,0.4061118148145815,19,2,34.931612903225805,3.0278237054613175,0.5049983503525681,10,64,6033,1.000631227764657,0.2610347692182755,10,4370,4410,3.019758869734161,0.5037251288768576,6,47,3041,0.0,0.24247646908274553,0,0.0,1550,87.0,98.0,31862.730852351688,0.0007977204471152474,2.1193781330551986
38,15031,2.8371459543435753,0.39362463030678535,0.1033,1.029635332403151,3,13.029411764705882,10.0,6,0.406055637310819,2,0,35.81648422408242,3.0279865877011987,0.5050657760772266,4,54,6033,1.000356480658246,0.26099243944065914,0,0.0,4407,3.0186139709165265,0.5037485901833523,2,27,3038,0.0,0.2419694525132029,0,0.0,1553,86.0,92.0,31846.963337506462,0.0007639480360654323,2.118752134755281
39,15033,2.835004966975605,0.3940217493753228,0.1038,1.117872916982493,2,13.029045643153527,9.868131868131869,12,0.40603797506135875,3,2,36.614102564102566,3.027793381767792,0.5051047707465512,4,38,6027,1.0006268936412235,0.26115679683623233,3,3808,4410,3.018606866401799,0.5037863281291753,5,37,3036,0.0,0.2426318330512693,0,0.0,1560,93.0,96.0,31825.765759267968,0.0006390852443409892,2.1170601848778112
40,15026,2.834749166791577,0.39433790978621075,0.1044,1.000365969653553,9,12.76923076923077,9.24731182795699,17,0.406211673718925,4,3,37.350541746335246,3.029535481054936,0.5052860127521296,10,75,6021,1.0011170886608651,0.26115574425995836,0,0.0,4403,3.019167154169449,0.5040215491913623,7,24,3033,0.0,0.24400473285277005,0,0.0,1569,102.0,104.0,31805.88565140132,0.0008521300313309668,2.1167233895515434
41,15027,2.8351757887587596,0.3942311216261678,0.1041,0.9949296067673775,7,13.227848101265822,9.617977528089888,33,0.4063347725623758,10,4,38.19245524296675,3.029065726126828,0.5055138966285914,16,49,6021,1.0010752920140433,0.2615233028289093,7,3076,4407,3.0184279410074994,0.5041303451484888,10,59,3035,0.0,0.24279070498811145,0,0.0,1564,96.0,87.0,31810.672349873108,0.0008649093935246684,2.116901068069028
42,15024,2.834296148940265,0.39450484909805716,0.1046,1.128879789773473,6,13.035294117647059,9.340425531914894,27,0.406409135605704,7,5,38.93380012730745,3.0294600980830797,0.505732927057024,16,62,6018,1.0006379945274173,0.2616424908123302,3,1692,4403,3.0185902527525803,0.50415180754041,8,46,3032,0.0,0.2430235078304993,0,0.0,1571,100.0,77.0,31789.46560651384,0.0007250421790483583,2.115912247504926
43,15035,2.8367440748021715,0.3942853152670073,0.1042,0.74922557657584,2,13.383064516129032,10.108695652173912,37,0.40654597109358076,15,4,39.89399744572158,3.03053427262894,0.5060621331360796,19,55,6028,0.9995049775180567,0.26187220452649407,7,2859,4407,3.0194670323337647,0.504197974125736,11,59,3034,0.0,0.24142316602934646,0,0.0,1566,94.0,74.0,31833.942007429796,0.0021606344210910898,2.11732238160492
44,15037,2.83754562773288,0.3942521956157162,0.1041,1.0421171930815762,7,13.307692307692308,10.252747252747254,21,0.40666894451396474,9,3,40.81609195402299,3.031601220646699,0.5062507728511003,9,23,6027,0.9991795876212047,0.2620433063263105,3,2198,4409,3.020129711946896,0.5043871174984451,9,79,3035,0.0,0.24121562674484104,0,0.0,1566,98.0,82.0,31842.9370344182,0.001304168951486062,2.1176389595277234
